part_number,part_description,category,file_name,memory_specification,encode_status,Product_id,product_id_validation
UCS-MR-1X041RY-A,UCS-MR-1X041RY-A 4 GB DDR3-1600-MHz RDIMM/PC3-12800/1R/x4/1.35v 1.35 V 1 ,memory,c22m3_lff_specsheet.pdf,"{""capacity"": ""4GB"", ""speed"": ""1600"", ""ranks"": ""1"", ""rank_width"": ""4"", ""memory_type"": ""DDR3"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.5V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,4D3ER14160015S1,Valid
UCS-MR-1X082RY-A,UCS-MR-1X082RY-A 8 GB DDR3-1600-MHz RDIMM/PC3-12800/2R/x4/1.35v 1.35 V 2 ,memory,c22m3_lff_specsheet.pdf,"{""capacity"": ""8GB"", ""speed"": ""1600"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR3"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.5V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,8D3ER24160015S1,Valid
UCS-MR-1X162RY-A,UCS-MR-1X162RY-A 16 GB DDR3-1600-MHz RDIMM/PC3-12800/2R/x4/1.35v 1.35 V 2 ,memory,c22m3_lff_specsheet.pdf,"{""capacity"": ""16GB"", ""speed"": ""1600"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR3"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.5V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,16D3ER24160015S1,Valid
UCS-MR-X64G2RW1,UCS-MR-X64G2RW1 64 GB DDR4-3200MHz RDIMM 2Rx4 (16Gb) 1.2 V 2 ,memory,c240-sd-m5-specsheet.pdf,"{""capacity"": ""64GB"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,64D4E2412S1,Invalid
UCS-MR-X32G2RW1,UCS-MR-X32G2RW1 32 GB DDR4-3200MHz RDIMM 2Rx4 (8Gb) 1.2 V 2 ,memory,c240-sd-m5-specsheet.pdf,"{""capacity"": ""32GB"", ""speed"": ""3200"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,32D4ER24320012S1,Valid
UCS-MR-X16G1RW1,UCS-MR-X16G1RW1 16 GB DDR4-3200MHz RDIMM 1Rx4 (8Gb) 1.2 V 1 Intel® Optane™ Persistent ,memory,c240-sd-m5-specsheet.pdf,"{""capacity"": ""16GB"", ""speed"": ""3200"", ""ranks"": ""1"", ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,16D4ER14320012S1,Valid
UCS-MR-X16G1RT-H,UCS-MR-X16G1RT-H 16GB DDR4-2933MHz RDIMM 1Rx4 (8Gb)/1.2v,memory,c240-sd-m5-specsheet.pdf,"{""capacity"": ""16GB"", ""speed"": ""2933"", ""ranks"": ""1"", ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,16D4ER14293312S1,Valid
UCS-MR-X32G2RT-H,UCS-MR-X32G2RT-H 32GB DDR4-2933MHz RDIMM 2Rx4 (8Gb)/1.2v,memory,c240-sd-m5-specsheet.pdf,"{""capacity"": ""32GB"", ""speed"": ""2933"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,32D4ER24293312S1,Valid
UCS-MR-X64G2RT-H,UCS-MR-X64G2RT-H 64GB DDR4-2933MHz RDIMM 2Rx4 (16Gb)/1.2v,memory,c240-sd-m5-specsheet.pdf,"{""capacity"": ""64GB"", ""speed"": ""2933"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,64D4ER24293312S1,Valid
UCS-MR-128G8RS-H,UCS-MR-128G8RS-H 128GB DDR4-2666-MHz TSV-RDIMM/PC4-21300/octal rank/x4/1.2v,memory,c240-sd-m5-specsheet.pdf,"{""capacity"": ""128GB"", ""speed"": ""2666"", ""ranks"": 8, ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,128D4ER84266612S1,Valid
